Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Sales/Turnover (Net),,,,SALE,co_afnd2,"18,4",NUMBER,,SALE_DC,co_afnddc2,2,NUMBER,,SALE_FN,co_afntind,8,VARCHAR2
,,Sales/Turnover is net of:,,,,,,,,,,,,,,,
,,Excise Taxes,,TXW,co_afnd2,"18,4",NUMBER,,TXW_DC,co_afnddc2,2,NUMBER,,TXW_FN,co_afntind,8,VARCHAR2
Operating Expenses - Total,,,COGS + XSGA,XOPR,co_afnd2,"18,4",NUMBER,,XOPR_DC,co_afnddc2,2,NUMBER,,XOPR_FN,co_afntind,8,VARCHAR2
,Cost of Goods Sold,,,COGS,co_afnd1,"18,4",NUMBER,,COGS_DC,co_afnddc1,2,NUMBER,,COGS_FN,co_afntind,8,VARCHAR2
,,Gross Profit (Loss),SALE - COGS,GP,co_afnd1,"18,4",NUMBER,,GP_DC,co_afnddc1,2,NUMBER,,GP_FN,co_afntind,8,VARCHAR2
,"Selling, General and Administrative Expenses",,,XSGA,co_afnd2,"18,4",NUMBER,,XSGA_DC,co_afnddc2,2,NUMBER,,XSGA_FN,co_afntind,8,VARCHAR2
,,Operating Expenses include:,,,,,,,,,,,,,,,
,,Research and Development Expense,,XRD,co_afnd2,"18,4",NUMBER,,XRD_DC,co_afnddc2,2,NUMBER,,XRD_FN,co_afntind,8,VARCHAR2
,,Staff Expense - Total,,XLR,co_afnd2,"18,4",NUMBER,,XLR_DC,co_afnddc2,2,NUMBER,,XLR_FN,co_afntind,8,VARCHAR2
,,Pension Expense,,XPR,co_afnd2,"18,4",NUMBER,,XPR_DC,co_afnddc2,2,NUMBER,,XPR_FN,co_afntind,8,VARCHAR2
,,Rental Expense,,XRENT,co_afnd2,"18,4",NUMBER,,XRENT_DC,co_afnddc2,2,NUMBER,,XRENT_FN,co_afntind,8,VARCHAR2
,,Advertising Expense,,XAD,co_afnd2,"18,4",NUMBER,,XAD_DC,co_afnddc2,2,NUMBER,,XAD_FN,co_afntind,8,VARCHAR2
Operating Income Before Depreciation,,,SALE - XOPR ,OIBDP,co_afnd2,"18,4",NUMBER,,OIBDP_DC,co_afnddc2,2,NUMBER,,OIBDP_FN,co_afntind,8,VARCHAR2
Depreciation and Amortization - Total,,, ,DP,co_afnd1,"18,4",NUMBER,,DP_DC,co_afnddc1,2,NUMBER,,DP_FN,co_afntind,8,VARCHAR2
,Amortization of Intangibles,,,AM,co_afnd1,"18,4",NUMBER,,AM_DC,co_afnddc1,2,NUMBER,,AM_FN,co_afntind,8,VARCHAR2
Operating Income After Depreciation,,,OIBDP - DP,OIADP,co_afnd2,"18,4",NUMBER,,OIADP_DC,co_afnddc2,2,NUMBER,,OIADP_FN,co_afntind,8,VARCHAR2
Interest and Related Expense,,,,XINT,co_afnd2,"18,4",NUMBER,,XINT_DC,co_afnddc2,2,NUMBER,,XINT_FN,co_afntind,8,VARCHAR2
Nonoperating Income (Expense) - Total,,,IDIT + NOPIO,NOPI,co_afnd2,"18,4",NUMBER,,NOPI_DC,co_afnddc2,2,NUMBER,,NOPI_FN,co_afntind,8,VARCHAR2
,Nonoperating Income (Expense) - Excluding Interest Income,,,NOPIO,co_afnd2,"18,4",NUMBER,,NOPIO_DC,co_afnddc2,2,NUMBER,,NOPIO_FN,co_afntind,8,VARCHAR2
,,Nonoperating Income (Expense) includes:,,,,,,,,,,,,,,,
,,Equity in Earnings- Unconsolidated Subsidiaries,,ESUB,co_afnd1,"18,4",NUMBER,,ESUB_DC,co_afnddc1,2,NUMBER,,ESUB_FN,co_afntind,8,VARCHAR2
,,Interest Capitalized,,INTC,co_afnd1,"18,4",NUMBER,,INTC_DC,co_afnddc1,2,NUMBER,,INTC_FN,co_afntind,8,VARCHAR2
