Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Sales/Turnover (Net) ,,,,SALESA,co_ifndsa,"18,4",NUMBER,,SALESA_DC,co_ifndsa,2.0,NUMBER,,SALESA_FN1,co_ifntsa,8.0,VARCHAR2
,,Sales/Turnover is net of:,,,,,,,,,,,,,,,
,,Excise Taxes,,TXWSA,co_ifndsa,"18,4",NUMBER,,TXWSA_DC,co_ifndsa,2.0,NUMBER,,TXWSA_FN,co_ifntsa,8.0,VARCHAR2
Operating Expense ,,,COGSSA + XSGASA,XOPRSA,co_ifndsa,"18,4",NUMBER,,XOPRSA_DC,co_ifndsa,2.0,NUMBER,,XOPRSA_FN1,co_ifntsa,8.0,VARCHAR2
,Cost of Goods Sold ,,,COGSSA,co_ifndsa,"18,4",NUMBER,,COGSSA_DC,co_ifndsa,2.0,NUMBER,,COGSSA_FN1,co_ifntsa,8.0,VARCHAR2
,"Selling, General and Administrative Expenses ",,,XSGASA,co_ifndsa,"18,4",NUMBER,,XSGASA_DC,co_ifndsa,2.0,NUMBER,,XSGASA_FN1,co_ifntsa,8.0,VARCHAR2
,,Operating Expense includes:,,,,,,,,,,,,,,,
,,Research and Development Expense                        ,,XRDSA,co_ifndsa,"18,4",NUMBER,,XRDSA_DC,co_ifndsa,2.0,NUMBER,,XRDSA_FN,co_ifntsa,8.0,VARCHAR2
Operating Income Before Depreciation ,,,SALESA - XOPRSA,OIBDPSA,co_ifndsa,"18,4",NUMBER,,OIBDPSA_DC,co_ifndsa,2.0,NUMBER,,OIBDPSA_FN1,co_ifntsa,8.0,VARCHAR2
Depreciation and Amortization - Total                   ,,,,DPSA,co_ifndsa,"18,4",NUMBER,,DPSA_DC,co_ifndsa,2.0,NUMBER,,DPSA_FN1,co_ifntsa,8.0,VARCHAR2
Operating Income After Depreciation ,,,OIBDPSA - DPSA,OIADPSA,co_ifndsa,"18,4",NUMBER,,OIADPSA_DC,co_ifndsa,2.0,NUMBER,,OIADPSA_FN1,co_ifntsa,8.0,VARCHAR2
Interest Expense   ,,,,XINTSA,co_ifndsa,"18,4",NUMBER,,XINTSA_DC,co_ifndsa,2.0,NUMBER,,XINTSA_FN1,co_ifntsa,8.0,VARCHAR2
Nonoperating Income (Expense) - Total,,,,NOPISA,co_ifndsa,"18,4",NUMBER,,NOPISA_DC,co_ifndsa,2.0,NUMBER,,NOPISA_FN1,co_ifntsa,8.0,VARCHAR2
Special Items                       ,,,,SPISA,co_ifndsa,"18,4",NUMBER,,SPISA_DC,co_ifndsa,2.0,NUMBER,,SPISA_FN1,co_ifntsa,8.0,VARCHAR2
Pretax Income    ,,,OIADPSA - XINTSA + NOPISA + SPISA,PISA,co_ifndsa,"18,4",NUMBER,,PISA_DC,co_ifndsa,2.0,NUMBER,,PISA_FN1,co_ifntsa,8.0,VARCHAR2
Income Taxes - Total              ,,,,TXTSA,co_ifndsa,"18,4",NUMBER,,TXTSA_DC,co_ifndsa,2.0,NUMBER,,TXTSA_FN1,co_ifntsa,8.0,VARCHAR2
,,Income Taxes include:,,,,,,,,,,,,,,,
