Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Sales/Turnover (Net) ,,,,SALEY,co_ifndytd,"18,4",NUMBER,,SALEY_DC,co_ifndytd,2.0,NUMBER,,SALEY_FN1,co_ifntytd,8.0,VARCHAR2
,,Sales/Turnover is net of:,,,,,,,,,,,,,,,
,,Excise Taxes,,TXWY,co_ifndytd,"18,4",NUMBER,,TXWY_DC,co_ifndytd,2.0,NUMBER,,TXWY_FN,co_ifntytd,8.0,VARCHAR2
Operating Expense ,,,COGSY + XSGAY,XOPRY,co_ifndytd,"18,4",NUMBER,,XOPRY_DC,co_ifndytd,2.0,NUMBER,,XOPRY_FN1,co_ifntytd,8.0,VARCHAR2
,Cost of Goods Sold ,,,COGSY,co_ifndytd,"18,4",NUMBER,,COGSY_DC,co_ifndytd,2.0,NUMBER,,COGSY_FN1,co_ifntytd,8.0,VARCHAR2
,"Selling, General and Administrative Expenses ",,,XSGAY,co_ifndytd,"18,4",NUMBER,,XSGAY_DC,co_ifndytd,2.0,NUMBER,,XSGAY_FN1,co_ifntytd,8.0,VARCHAR2
,,Operating Expense includes:,,,,,,,,,,,,,,,
,,Research and Development Expense                        ,,XRDY,co_ifndytd,"18,4",NUMBER,,XRDY_DC,co_ifndytd,2.0,NUMBER,,XRDY_FN,co_ifntytd,8.0,VARCHAR2
Operating Income Before Depreciation ,,,SALEY - XOPRY,OIBDPY,co_ifndytd,"18,4",NUMBER,,OIBDPY_DC,co_ifndytd,2.0,NUMBER,,OIBDPY_FN1,co_ifntytd,8.0,VARCHAR2
Depreciation and Amortization - Total                   ,,,,DPY,co_ifndytd,"18,4",NUMBER,,DPY_DC,co_ifndytd,2.0,NUMBER,,DPY_FN1,co_ifntytd,8.0,VARCHAR2
Operating Income After Depreciation ,,,OIBDPY - DPY,OIADPY,co_ifndytd,"18,4",NUMBER,,OIADPY_DC,co_ifndytd,2.0,NUMBER,,OIADPY_FN1,co_ifntytd,8.0,VARCHAR2
Interest Expense   ,,,,XINTY,co_ifndytd,"18,4",NUMBER,,XINTY_DC,co_ifndytd,2.0,NUMBER,,XINTY_FN1,co_ifntytd,8.0,VARCHAR2
Nonoperating Income (Expense) - Total,,,,NOPIY,co_ifndytd,"18,4",NUMBER,,NOPIY_DC,co_ifndytd,2.0,NUMBER,,NOPIY_FN1,co_ifntytd,8.0,VARCHAR2
Special Items                       ,,,,SPIY,co_ifndytd,"18,4",NUMBER,,SPIY_DC,co_ifndytd,2.0,NUMBER,,SPIY_FN1,co_ifntytd,8.0,VARCHAR2
Pretax Income    ,,,OIADPY - XINTY + NOPIY + SPIY,PIY,co_ifndytd,"18,4",NUMBER,,PIY_DC,co_ifndytd,2.0,NUMBER,,PIY_FN1,co_ifntytd,8.0,VARCHAR2
Income Taxes - Total              ,,,,TXTY,co_ifndytd,"18,4",NUMBER,,TXTY_DC,co_ifndytd,2.0,NUMBER,,TXTY_FN1,co_ifntytd,8.0,VARCHAR2
,,Income Taxes include:,,,,,,,,,,,,,,,
,,Income Taxes - Deferred                     ,,TXDIY,co_ifndytd,"18,4",NUMBER,,TXDIY_DC,co_ifndytd,2.0,NUMBER,,TXDIY_FN,co_ifntytd,8.0,VARCHAR2
Income Before Extraordinary Items and Noncontrolling Interest,,,PIY - TXTY,IBMIIY,co_ifndytd,"18,4",NUMBER,,IBMIIY_DC,co_ifndytd,2.0,NUMBER,,IBMIIY_FN,co_ifntytd,8.0,VARCHAR2
Noncontrolling Interest - Income Account,,,,MIIY,co_ifndytd,"18,4",NUMBER,,MIIY_DC,co_ifndytd,2.0,NUMBER,,MIIY_FN1,co_ifntytd,8.0,VARCHAR2
Income Before Extraordinary Items ,,,IBMIIY - MIIY,IBY,co_ifndytd,"18,4",NUMBER,,IBY_DC,co_ifndytd,2.0,NUMBER,,IBY_FN1,co_ifntytd,8.0,VARCHAR2
Dividends - Preferred/Preference                 ,,,,DVPY,co_ifndytd,"18,4",NUMBER,,DVPY_DC,co_ifndytd,2.0,NUMBER,,DVPY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Income Before Extraordinary Items - Available for Common   ,,,IBY - DVPY,IBCOMY,co_ifndytd,"18,4",NUMBER,,IBCOMY_DC,co_ifndytd,2.0,NUMBER,,IBCOMY_FN,co_ifntytd,8.0,VARCHAR2
Common Stock Equivalents - Dollar Savings,,,,CSTKEY,co_ifndytd,"18,4",NUMBER,,CSTKEY_DC,co_ifndytd,2.0,NUMBER,,CSTKEY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
Income Before Extraordinary Items - Adjusted for Common Stock Equivalents ,,,IBCOMY + CSTKEY,IBADJY,co_ifndytd,"18,4",NUMBER,,IBADJY_DC,co_ifndytd,2.0,NUMBER,,IBADJY_FN,co_ifntytd,8.0,VARCHAR2
Extraordinary Items and Discontinued Operations ,,,XIY + DOY,XIDOY,co_ifndytd,"18,4",NUMBER,,XIDOY_DC,co_ifndytd,2.0,NUMBER,,XIDOY_FN,co_ifntytd,8.0,VARCHAR2
,Extraordinary Items ,,,XIY,co_ifndytd,"18,4",NUMBER,,XIY_DC,co_ifndytd,2.0,NUMBER,,XIY_FN1,co_ifntytd,8.0,VARCHAR2
,Discontinued Operations ,,,DOY,co_ifndytd,"18,4",NUMBER,,DOY_DC,co_ifndytd,2.0,NUMBER,,DOY_FN,co_ifntytd,8.0,VARCHAR2
,,Extraordinary Items include:,,,,,,,,,,,,,,,
,,Accounting Changes - Cumulative Effect,,ACCHGY,co_ifndytd,"18,4",NUMBER,,ACCHGY_DC,co_ifndytd,2.0,NUMBER,,ACCHGY_FN,co_ifntytd,8.0,VARCHAR2
,,,,,,,,,,,,,,,,,
