"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
0170,111,Crop production  ,,0170,111,Crop production  ,,0170,111,Crop production  ,,0170,111,Crop production  
0180,112,Animal production  ,,0180,112,Animal production and aquaculture,,0180,112,Animal production and aquaculture,,0180,112,Animal production and aquaculture
0190,"1131, 1132",Forestry except logging ,,0190,"1131, 1132",Forestry except logging ,,0190,"1131, 1132",Forestry except logging ,,0190,"1131, 1132",Forestry except logging 
0270,1133,Logging ,,0270,1133,Logging ,,0270,1133,Logging ,,0270,1133,Logging 
0280,114,"Fishing, hunting and trapping ",,0280,114,"Fishing, hunting and trapping ",,0280,114,"Fishing, hunting and trapping ",,0280,114,"Fishing, hunting and trapping "
0290,115,Support activities for agriculture and forestry ,,0290,115,Support activities for agriculture and forestry ,,0290,115,Support activities for agriculture and forestry ,,0290,115,Support activities for agriculture and forestry 
0370,211,Oil and gas extraction ,,0370,211,Oil and gas extraction ,,0370,211,Oil and gas extraction ,,0370,211,Oil and gas extraction 
0380,2121,Coal mining ,,0380,2121,Coal mining ,,0380,2121,Coal mining ,,0380,2121,Coal mining 
0390,2122,Metal ore mining ,,0390,2122,Metal ore mining ,,0390,2122,Metal ore mining ,,0390,2122,Metal ore mining 
0470,2123,Nonmetallic mineral mining and quarrying ,,0470,2123,Nonmetallic mineral mining and quarrying ,,0470,2123,Nonmetallic mineral mining and quarrying ,,0470,2123,Nonmetallic mineral mining and quarrying 
0480,Part of 21,Not specified type of mining,,0480,Part of 21,Not specified type of mining,,0480,Part of 21,Not specified type of mining,,0480,Part of 21,Not specified type of mining
0490,213,Support activities for mining ,,0490,213,Support activities for mining ,,0490,213,Support activities for mining ,,0490,213,Support activities for mining 
0570,2211,"Electric power generation, transmission and distribution",,0570,2211,"Electric power generation, transmission and distribution",,0570,2211,"Electric power generation, transmission and distribution",,0570,2211,"Electric power generation, transmission and distribution"
0580,2212,Natural gas distribution ,,0580,2212,Natural gas distribution ,,0580,2212,Natural gas distribution ,,0580,2212,Natural gas distribution 
0590,"Pts. 2211, 2212","Electric and gas, and other combinations ",,0590,"Pts. 2211, 2212","Electric and gas, and other combinations ",,0590,"Pts. 2211, 2212","Electric and gas, and other combinations ",,0590,"Pts. 2211, 2212","Electric and gas, and other combinations "
0670,"22131, 22133","Water, steam, air-conditioning, and irrigation systems ",,0670,"22131, 22133","Water, steam, air-conditioning, and irrigation systems ",,0670,"22131, 22133","Water, steam, air-conditioning, and irrigation systems ",,0670,"22131, 22133","Water supply and irrigation systems, and steam and air-conditioning supply"
0680,22132,Sewage treatment facilities ,,0680,22132,Sewage treatment facilities ,,0680,22132,Sewage treatment facilities ,,0680,22132,Sewage treatment facilities 
0690,Part of 22 ,Not specified utilities ,,0690,Part of 22 ,Not specified utilities ,,0690,Part of 22 ,Not specified utilities ,,0690,Part of 22 ,Not specified utilities 
0770,23,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),,0770,23,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),,0770,23,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),,0770,23,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction)
