gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
21799,VICTORY CPTL HLDGS INC,40.0,Financials,0.30939737286903696,777.0,90.03476245654693,1.703001120709825,3699.3397499999996,57.87,0.97,1144.5659999999998,0.029203386901676173,2.636,982.229,175.607,2583.486,63.925,Q1 Only
45327,BOWHEAD SPECIALTY HOLDGS INC,40.0,Financials,0.2947563321268946,778.0,90.15063731170336,1.703001120709825,1327.7509499999999,40.65,0.35,391.36299999999983,0.0,,4.0,251.416,1753.072,32.663,Q1 Only
39750,P10 INC,40.0,Financials,0.28841059564372884,779.0,90.2665121668598,1.703001120709825,1297.6465,11.75,0.04,374.255,0.011914893617021277,,382.753,75.411,877.351,110.438,Q1 Only
149070,CME GROUP INC,40.0,Financials,0.28330716337296824,780.0,90.38238702201622,1.703001120709825,95411.28321000001,265.29,2.63,27030.70000000001,0.039579328282257145,52.3,3744.2,1725.5,157831.6,359.649,Q1 Only
39103,PAYONEER GLBL INC,40.0,Financials,0.2833010468886743,781.0,90.49826187717265,1.703001120709825,2649.94079,7.31,0.06,750.7310000000007,0.0,7.208,14.68,534.129,7550.162,362.509,Q1 Only
163610,INTERCONTINENTAL EXCHANGE,40.0,Financials,0.2832197141847195,782.0,90.61413673232909,1.703001120709825,99015.0,172.5,1.39,28043.0,0.010608695652173913,2932.0,17689.0,2635.0,142870.0,574.0,Q1 Only
3581,CRAWFORD & CO,40.0,Financials,0.28209870380379387,783.0,90.73001158748552,1.703001120709825,563.7140400000001,11.42,0.14,159.02300000000002,0.0245183887915937,64.943,266.466,58.021,792.259,49.362,Q1 Only
25339,CREDIT ACCEPTANCE CORP,40.0,Financials,0.28204376737674963,784.0,90.84588644264194,1.703001120709825,6066.0797999999995,516.35,8.79,1710.8999999999996,0.0,,6705.2,1133.3,9258.0,11.748,Q1 Only
180081,SPROTT INC,40.0,Financials,0.28170936486766834,785.0,90.96176129779838,1.703001120709825,1157.7357399999999,44.87,0.46,326.145,0.024508580343213727,,,56.109,386.131,25.802,Q1 Only
64536,EURONET WORLDWIDE INC,40.0,Financials,0.28170884102522153,786.0,91.07763615295481,1.703001120709825,4620.728249999999,106.85,0.88,1301.6999999999998,0.0,346.2,2004.9,2104.7,6053.5,43.245,Q1 Only
32767,EQUITABLE HOLDINGS INC,40.0,Financials,0.28162654348947486,787.0,91.19351100811124,1.703001120709825,15957.302690000002,52.09,0.16,4494.0,0.018429641005951236,,6440.0,12823.0,287366.0,306.341,Q1 Only
20412,ARES MANAGEMENT CORP,40.0,Financials,0.2745975599986995,788.0,91.30938586326766,1.703001120709825,32017.571460000003,146.61,0.0,8791.947,0.026669394993520227,,13355.874,1802.811,27181.768,218.386,Q1 Only
118264,GAMCO INVESTORS INC,40.0,Financials,0.27299018797977775,789.0,91.42526071842411,1.703001120709825,518.60472,23.12,0.81,141.574,0.10380622837370242,,,103.496,218.104,22.431,Q1 Only
11099,VALUE LINE INC,40.0,Financials,0.2673971649144654,790.0,91.54113557358053,1.703001120709825,370.04879999999997,39.3,0.55,98.95000000000002,0.03053435114503817,1.254,2.636,75.791,143.555,9.416,Q1 Only
175263,WESTERN UNION CO,40.0,Financials,0.26735974144030444,791.0,91.65701042873697,1.703001120709825,3513.6180000000004,10.58,0.37,939.3999999999996,0.08884688090737239,950.0,1841.3,1290.2,8337.9,332.1,Q1 Only
149337,NASDAQ INC,40.0,Financials,0.2653937053950813,792.0,91.77288528389339,1.703001120709825,43539.0884,75.86,0.69,11555.0,0.012654890587925125,455.0,9319.0,6394.0,30647.0,573.94,Q1 Only
165286,APPTECH PAYMENTS CORP,40.0,Financials,0.2650115836910597,793.0,91.88876013904984,1.703001120709825,13.818263900000002,0.4151,-0.08,3.6619999999999995,0.0,0.068,0.061,0.417,6.911,33.289,Q1 Only
164572,AMERISAFE INC,40.0,Financials,0.2605322764721014,794.0,92.00463499420626,1.703001120709825,1001.0775,52.55,0.47,260.8130000000001,0.08563273073263557,,,134.062,1156.717,19.05,Q1 Only
127377,BGC GROUP INC,40.0,Financials,0.2556266674721823,795.0,92.12050984936269,1.703001120709825,4471.17279,9.17,0.11,1142.9509999999996,0.008724100327153763,,1817.774,985.766,4884.476,487.587,Q1 Only
4973,ARTHUR J GALLAGHER & CO,40.0,Financials,0.2528706597615004,796.0,92.23638470451911,1.703001120709825,88399.73772,345.24,2.76,22353.699999999997,0.007096512570965125,667.8,12746.1,16691.8,74095.7,256.053,Q1 Only
