gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
1300,HONEYWELL INTERNATIONAL INC,20.0,Industrials,0.13249502825376014,500.0,90.09009009009009,1.3443783955605695,136088.12525,211.75,2.24,18031.0,0.02087367178276269,7293.0,26698.0,10059.0,75218.0,642.683,Q1 Only
33668,BLOOM ENERGY CORP,20.0,Industrials,0.13188326059652083,501.0,90.27027027027027,1.3443783955605695,4560.51054,19.66,-0.1,601.4549999999999,0.0,157.428,1368.108,800.954,2607.984,231.969,Q1 Only
162449,EXLSERVICE HOLDINGS INC,20.0,Industrials,0.1317502814157663,502.0,90.45045045045045,1.3443783955605695,7680.26443,47.21,0.41,1011.8770000000001,0.0,22.312,363.785,341.246,1676.411,162.683,Q1 Only
175689,ARMSTRONG WORLD INDUSTRIES,20.0,Industrials,0.12968896551881964,503.0,90.63063063063062,1.3443783955605695,6117.713999999999,140.88,1.59,793.4000000000001,0.008347529812606475,35.2,559.8,82.8,1854.4,43.425,Q1 Only
144998,XPO INC,20.0,Industrials,0.1294229397918234,504.0,90.81081081081082,1.3443783955605695,12671.633039999999,107.58,0.59,1640.0,0.0,192.0,3919.0,212.0,7879.0,117.788,Q1 Only
21542,AAON INC,20.0,Industrials,0.12836501569569017,505.0,90.990990990991,1.3443783955605695,6355.719239999999,78.13,0.36,815.852,0.004351721489824651,18.442,249.388,2.383,1300.193,81.348,Q1 Only
5567,HEICO CORP,20.0,Industrials,0.12755639891317339,506.0,91.17117117117117,1.3443783955605695,33199.518299999996,238.94,1.21,4234.811,0.0009207332384699088,3.95,2349.681,165.467,7890.711,138.945,Q1 Only
6737,LINCOLN ELECTRIC HLDGS INC,20.0,Industrials,0.12690948313051692,507.0,91.35135135135135,1.3443783955605695,10560.04616,189.16,2.11,1340.17,0.015436667371537323,122.453,1189.918,394.705,3625.074,55.826,Q1 Only
9203,ROCKWELL AUTOMATION,20.0,Industrials,0.12378294377807399,508.0,91.53153153153153,1.3443783955605695,29123.56008,258.38,2.22,3605.0,0.019815775214799908,1204.0,2889.0,456.0,10993.0,112.716,Q1 Only
185229,BWX TECHNOLOGIES INC,20.0,Industrials,0.12205436705506827,509.0,91.7117117117117,1.3443783955605695,9012.664,98.65,0.82,1100.0349999999999,0.00983274201723264,12.5,1185.356,58.248,3054.008,91.36,Q1 Only
24617,OLD DOMINION FREIGHT,20.0,Industrials,0.12078958213396991,510.0,91.8918918918919,1.3443783955605695,35063.65305,165.45,1.2,4235.324,0.006406769416742219,20.0,39.99,97.198,5491.294,211.929,Q1 Only
39225,LEGALZOOM.COM INC,20.0,Industrials,0.12001277207906438,511.0,92.07207207207207,1.3443783955605695,1559.9339699999998,8.61,0.03,187.21200000000005,0.0,3.465,11.147,209.973,532.666,181.177,Q1 Only
2817,CATERPILLAR INC,20.0,Industrials,0.1163182524961646,512.0,92.25225225225225,1.3443783955605695,155349.65159999998,329.8,4.22,18070.0,0.016767738023044265,12769.0,25819.0,4586.0,84974.0,471.042,Q1 Only
19730,PAYLOCITY HOLDING CORP,20.0,Industrials,0.11617019179376845,513.0,92.43243243243244,1.3443783955605695,10404.8636,187.34,1.64,1208.7350000000001,0.0,8.244,292.78,477.785,5167.966,55.54,Q1 Only
45169,GE VERNOVA INC,20.0,Industrials,0.11608034857056412,514.0,92.61261261261261,1.3443783955605695,83321.5968,305.28,0.92,9672.0,0.0008189203354297695,,,8107.0,51559.0,272.935,Q1 Only
10867,UNION PACIFIC CORP,20.0,Industrials,0.11334512123724896,515.0,92.7927927927928,1.3443783955605695,141505.87008,236.24,2.71,16039.0,0.022519471723670845,2531.0,31373.0,1434.0,68492.0,598.992,Q1 Only
23027,EXPONENT INC,20.0,Industrials,0.10708002942604855,516.0,92.97297297297298,1.3443783955605695,4122.22524,81.06,0.52,441.408,0.014063656550703183,5.633,74.488,263.151,763.239,50.854,Q1 Only
39578,REDWIRE CORP,20.0,Industrials,0.10532945059940546,517.0,93.15315315315316,1.3443783955605695,632.9663699999999,8.29,-0.09,66.66999999999999,0.0,5.757,119.648,54.221,314.099,76.353,Q1 Only
5959,TRANE TECHNOLOGIES PLC,20.0,Industrials,0.09983050956027452,518.0,93.33333333333333,1.3443783955605695,75302.63076,336.92,2.74,7517.500000000002,0.010269500178083818,851.7,3919.6,860.5,20117.4,223.503,Q1 Only
175457,BYRNA TECHNOLOGIES INC,20.0,Industrials,0.09743632573748813,519.0,93.51351351351352,1.3443783955605695,583.2219100000001,25.73,0.07,56.827,0.0,0.572,1.963,19.289,71.038,22.667,Q1 Only
36175,VERTIV HOLDINGS CO,20.0,Industrials,0.09693084249762515,520.0,93.69369369369369,1.3443783955605695,27508.2722,72.2,0.43,2666.4000000000005,0.0017313019390581717,67.7,3076.3,1476.1,9451.1,381.001,Q1 Only
43197,VERALTO CORP,20.0,Industrials,0.09561824921287836,521.0,93.87387387387388,1.3443783955605695,24148.11,97.45,0.91,2309.0,0.004104669061056952,,2630.0,1239.0,6645.0,247.8,Q1 Only
14477,WASTE MANAGEMENT INC,20.0,Industrials,0.09286881086696648,522.0,94.05405405405406,1.3443783955605695,93152.91020999999,231.51,1.58,8651.0,0.013282363612802902,954.0,22883.0,250.0,44486.0,402.371,Q1 Only
28192,HOWMET AEROSPACE INC,20.0,Industrials,0.09143132766988255,523.0,94.23423423423424,1.3443783955605695,52410.92,129.73,0.85,4792.0,0.002389578355045094,46.0,3437.0,536.0,10772.0,404.0,Q1 Only
5047,GE AEROSPACE,20.0,Industrials,0.09121177369258578,524.0,94.41441441441441,1.3443783955605695,213437.35804999998,200.15,1.84,19468.0,0.0073944541593804645,2365.0,18349.0,13405.0,124123.0,1066.387,Q1 Only
28590,BRINKS CO,20.0,Industrials,0.08942569675936496,525.0,94.5945945945946,1.3443783955605695,3679.032,86.16,1.2,329.0,0.011258124419684308,284.7,3881.6,1226.2,6583.6,42.7,Q1 Only
29126,XTRACT ONE TECHNOLOGIES INC,20.0,Industrials,0.0887360671582564,526.0,94.77477477477477,1.3443783955605695,111.39777,0.51,-0.01,9.885,0.0,0.167,0.955,5.428,21.291,218.427,Q1 Only
42033,ATMUS FILTRATION TECHNLS INC,20.0,Industrials,0.08737755844982291,527.0,94.95495495495496,1.3443783955605695,3036.2487199999996,36.73,0.54,265.29999999999995,0.004083855159270352,41.2,588.4,183.3,1228.1,82.664,Q1 Only
43589,UL SOLUTIONS INC,20.0,Industrials,0.08715603789927164,528.0,95.13513513513514,1.3443783955605695,11290.0956,56.4,0.34,984.0,0.008953900709219859,40.0,803.0,267.0,2878.0,200.179,Q1 Only
35832,EHANG HOLDINGS LIMITED,20.0,Industrials,0.08460255861643881,529.0,95.31531531531532,1.3443783955605695,1502.5550300000002,20.89,-0.14,127.11999999999999,0.0,17.002,25.111,153.563,220.588,71.927,Q1 Only
