gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
21295,FOCUS UNIVERSAL INC,45.0,Information_Technology,0.06417877542297802,441.0,90.1840490797546,1.1168488730875445,29.573639999999997,4.17,-0.17,1.8979999999999997,0.0,0.043,0.0,2.218,2.667,7.092,Q1 Only
12377,RESEARCH FRONTIERS INC,45.0,Information_Technology,0.06383106308307979,442.0,90.38854805725971,1.1168488730875445,38.022240000000004,1.13,-0.01,2.4269999999999996,0.0,0.134,1.13,1.353,3.768,33.648,Q1 Only
171007,SERVICENOW INC,45.0,Information_Technology,0.061528934467280604,443.0,90.59304703476482,1.1168488730875445,164784.26106000002,796.14,2.22,10139.0,0.0,103.0,2296.0,6605.0,20972.0,206.979,Q1 Only
27387,IMPINJ INC,45.0,Information_Technology,0.0611980376104713,444.0,90.79754601226993,1.1168488730875445,2623.6789,90.7,-0.3,160.56399999999996,0.0,3.665,288.68,147.917,479.825,28.927,Q1 Only
35743,DOCEBO INC,45.0,Information_Technology,0.060921257499897914,445.0,91.00204498977506,1.1168488730875445,860.6683800000001,28.71,0.05,52.43299999999999,0.0,1.052,0.071,91.874,197.673,29.978,Q1 Only
43285,ARM HOLDINGS PLC,45.0,Information_Technology,0.06058805764113389,446.0,91.20654396728017,1.1168488730875445,112877.03000000001,106.79,0.2,6839.0,0.0,30.0,316.0,2825.0,8932.0,1057.0,Q1 Only
25756,PURE STORAGE INC,45.0,Information_Technology,0.05909925516423538,447.0,91.41104294478528,1.1168488730875445,22106.45458,67.79,0.13,1306.475,0.0,143.876,137.277,1521.82,3963.942,326.102,Q1 Only
24071,APPFOLIO INC,45.0,Information_Technology,0.05834248013899608,448.0,91.61554192229039,1.1168488730875445,7920.798000000001,219.9,0.86,462.1189999999999,0.0,4.369,36.328,211.064,564.733,36.02,Q1 Only
17754,AUDIOEYE INC,45.0,Information_Technology,0.05752156334719612,449.0,91.8200408997955,1.1168488730875445,138.1395,11.1,-0.12,7.945999999999998,0.0,0.204,11.689,8.265,33.12,12.445,Q1 Only
35223,RED CAT HOLDINGS INC,45.0,Information_Technology,0.05740749036397671,450.0,92.02453987730061,1.1168488730875445,503.61024,5.88,-0.27,28.910999999999998,0.0,25.973,1.839,7.722,59.656,85.648,Q1 Only
174302,CONSTELLATION SOFTWARE INC,45.0,Information_Technology,0.054267251113484696,451.0,92.22903885480572,1.1168488730875445,67093.872,3166.0,5.44,3641.0,0.0012636133922931145,903.0,3818.0,2488.0,13896.0,21.192,Q1 Only
171067,PALO ALTO NETWORKS INC,45.0,Information_Technology,0.0523462462339572,452.0,92.43353783231085,1.1168488730875445,121790.968,184.42,0.41,6375.300000000001,0.0,607.4,363.0,3243.4,20951.7,660.4,Q1 Only
40532,CREDO TECH GROUP HOLDING LTD,45.0,Information_Technology,0.05202904760386781,453.0,92.63803680981594,1.1168488730875445,11882.323980000001,70.02,0.17,618.2260000000001,0.0,3.179,12.956,379.208,719.916,169.699,Q1 Only
38954,CLEAR SECURE INC,45.0,Information_Technology,0.051942274894360194,454.0,92.84253578732107,1.1168488730875445,2425.53874,25.91,0.26,125.98800000000006,0.027788498649170202,6.029,113.542,529.881,1111.334,93.614,Q1 Only
33037,ZSCALER INC,45.0,Information_Technology,0.051277976381334335,455.0,93.04703476482618,1.1168488730875445,31345.73775,202.59,-0.05,1607.346,0.0,1197.43,40.912,2880.24,5005.968,154.725,Q1 Only
177528,TSS INC,45.0,Information_Technology,0.05095866981104435,456.0,93.25153374233128,1.1168488730875445,184.2866,7.85,0.13,9.391000000000005,0.0,1.654,31.262,27.339,113.539,23.476,Q1 Only
339965,SNOWFLAKE INC,45.0,Information_Technology,0.049614705105106134,457.0,93.4560327198364,1.1168488730875445,60599.836149999996,181.51,-0.99,3006.643,0.0,35.923,2649.347,4637.671,9033.938,333.865,Q1 Only
174077,COMMVAULT SYSTEMS INC,45.0,Information_Technology,0.04672738537235795,458.0,93.66053169734151,1.1168488730875445,6957.84704,157.76,0.7,325.12200000000007,0.0,4.614,6.338,302.103,1118.266,44.104,Q1 Only
12441,GARTNER INC,45.0,Information_Technology,0.04611275972017822,459.0,93.86503067484662,1.1168488730875445,32482.41938,419.74,2.73,1497.8540000000003,0.0,98.477,2785.498,2091.048,8479.761,77.387,Q1 Only
36964,ASANA INC,45.0,Information_Technology,0.045780842335143714,460.0,94.06952965235173,1.1168488730875445,4969.82992,21.34,-0.27,227.5229999999999,0.0,27.365,241.024,467.02,891.415,232.888,Q1 Only
6304,KLA CORP,45.0,Information_Technology,0.044547868830219474,461.0,94.27402862985686,1.1168488730875445,89897.4318,679.8,8.21,4004.7390000000014,0.009267431597528686,43.468,6045.705,4028.622,15188.307,132.241,Q1 Only
20088,BOX INC,45.0,Information_Technology,0.04099724520898211,462.0,94.47852760736197,1.1168488730875445,4811.93307,33.39,1.17,197.27600000000007,0.0,229.32,517.409,724.351,1667.52,144.113,Q1 Only
119574,EXTREME NETWORKS INC,45.0,Information_Technology,0.040725861218919225,463.0,94.68302658486708,1.1168488730875445,1760.67486,13.23,0.03,71.70500000000004,0.0,24.174,203.141,185.48,1073.077,133.082,Q1 Only
61591,NETAPP INC,45.0,Information_Technology,0.040143143591419454,464.0,94.88752556237219,1.1168488730875445,24786.3,122.1,1.47,995.0,0.016871416871416873,791.0,1459.0,2268.0,8989.0,203.0,Q1 Only
1878,AUTODESK INC,45.0,Information_Technology,0.03933854805486565,465.0,95.0920245398773,1.1168488730875445,66626.76,311.34,1.42,2621.0,0.0,358.0,2201.0,1898.0,10833.0,214.0,Q1 Only
12142,ORACLE CORP,45.0,Information_Technology,0.03708325275103768,466.0,95.29652351738241,1.1168488730875445,465466.18,166.06,1.05,17261.0,0.009635071660845478,8167.0,88109.0,17823.0,161378.0,2803.0,Q1 Only
40292,SAMSARA INC,45.0,Information_Technology,0.03669858600938058,467.0,95.50102249488752,1.1168488730875445,29134.528500000004,51.5,-0.02,1069.196,0.0,15.656,64.622,694.798,2024.302,565.719,Q1 Only
35604,CLOUDFLARE INC,45.0,Information_Technology,0.03651383124846175,468.0,95.70552147239265,1.1168488730875445,39050.35301,112.69,-0.11,1425.8780000000002,0.0,53.062,1422.832,1919.247,3721.259,346.529,Q1 Only
24083,VERTEX INC,45.0,Information_Technology,0.03615582953699829,469.0,95.91002044989774,1.1168488730875445,5545.16388,35.01,0.07,200.49,0.0,4.12,347.245,270.395,1154.144,158.388,Q1 Only
38662,SIMILARWEB LTD,45.0,Information_Technology,0.034713293124275416,470.0,96.11451942740287,1.1168488730875445,690.85926,8.27,-0.11,23.982,0.0,8.036,31.933,70.274,237.687,83.538,Q1 Only
35182,CROWDSTRIKE HOLDINGS INC,45.0,Information_Technology,0.03363639716875338,471.0,96.31901840490798,1.1168488730875445,98670.40704,398.07,-0.37,3318.9169999999995,0.0,13.811,775.09,4324.666,8701.578,247.872,Q1 Only
132602,01 COMMUNIQUE LABORATORY INC,45.0,Information_Technology,0.0316491079858868,472.0,96.52351738241309,1.1168488730875445,32.196799999999996,0.32,0.0,1.019,0.0,0.042,0.096,1.011,1.242,100.615,Q1 Only
24501,RAPID7 INC,45.0,Information_Technology,0.03098624160798104,473.0,96.7280163599182,1.1168488730875445,1701.4648200000001,26.51,0.03,52.72199999999998,0.0,59.581,954.787,493.473,1644.81,64.182,Q1 Only
33550,WRAP TECHNOLOGIES,45.0,Information_Technology,0.02972907398045898,474.0,96.93251533742331,1.1168488730875445,86.34644999999999,1.71,0.0,2.567000000000002,0.0,0.57,1.552,6.17,17.972,50.495,Q1 Only
36910,PALANTIR TECHNOLOG INC,45.0,Information_Technology,0.027711870447369065,475.0,97.13701431492842,1.1168488730875445,199155.5572,84.4,0.09,5518.973,0.0,44.419,200.177,5438.474,6736.917,2359.663,Q1 Only
17349,SKKYNET CLOUD SYSTEMS INC,45.0,Information_Technology,0.02757384870135134,476.0,97.34151329243353,1.1168488730875445,41.45232,0.78,0.0,1.1430000000000002,0.0,0.0,0.0,1.31,1.848,53.144,Q1 Only
117768,NVIDIA CORP,45.0,Information_Technology,0.026991581516711296,477.0,97.54601226993866,1.1168488730875445,2938953.3899999997,120.07,0.9,79327.0,0.0005829932539352045,288.0,9982.0,43210.0,111601.0,24477.0,Q1 Only
183377,FORTINET INC,45.0,Information_Technology,0.02651020231542691,478.0,97.75051124744377,1.1168488730875445,74043.19200000001,96.26,0.56,1962.8999999999996,0.0,498.7,496.2,4780.5,10407.0,769.2,Q1 Only
26494,ATLASSIAN CORP,45.0,Information_Technology,0.024512896433234264,479.0,97.95501022494888,1.1168488730875445,55844.97139,212.21,-0.27,1368.9220000000005,0.0,44.645,1185.955,2974.451,5883.716,263.159,Q1 Only
109826,MANHATTAN ASSOCIATES INC,45.0,Information_Technology,0.02332877561044494,480.0,98.15950920245399,1.1168488730875445,10506.1236,173.04,0.86,245.09500000000003,0.0,,46.999,205.873,708.221,60.715,Q1 Only
187462,UBIQUITI INC,45.0,Information_Technology,0.023246504868779605,481.0,98.3640081799591,1.1168488730875445,18760.3686,310.14,2.98,436.11300000000006,0.007738440704198104,352.212,31.497,150.967,1298.268,60.49,Q1 Only
7585,MOTOROLA SOLUTIONS INC,45.0,Information_Technology,0.022704104251991524,482.0,98.56850715746421,1.1168488730875445,73070.489,437.81,2.58,1659.0,0.009456156780338504,436.0,6089.0,1564.0,14433.0,166.9,Q1 Only
1690,APPLE INC,45.0,Information_Technology,0.02012855297041581,483.0,98.77300613496932,1.1168488730875445,3318470.04095,222.13,1.65,66796.0,0.004501868275334264,19620.0,78566.0,48498.0,331233.0,14939.315,Q1 Only
260893,BLACKBAUD INC,45.0,Information_Technology,0.0110202922030063,484.0,98.97750511247445,1.1168488730875445,3010.3557499999997,62.05,0.1,33.17500000000018,0.0,24.423,1184.738,456.643,2102.219,48.515,Q1 Only
141537,RENOWORKS SOFTWARE INC,45.0,Information_Technology,0.010081636667650279,485.0,99.18200408997954,1.1168488730875445,8.1336,0.2,0.0,0.0820000000000003,0.0,0.0,0.0,1.175,2.672,40.668,Q1 Only
23071,GODADDY INC,45.0,Information_Technology,0.007783293060033869,486.0,99.38650306748467,1.1168488730875445,25657.52034,180.14,1.55,199.69999999999982,0.0,36.5,3849.2,719.4,7838.8,142.431,Q1 Only
38212,APPLOVIN CORP,45.0,Information_Technology,0.006418113874192809,487.0,99.59100204498978,1.1168488730875445,89655.77914000001,264.97,1.7,575.4210000000003,0.0,200.0,3509.964,551.024,5706.701,338.362,Q1 Only
39992,NEXTNAV INC,45.0,Information_Technology,0.004082933453700658,488.0,99.79550102249489,1.1168488730875445,1609.8719400000002,12.17,-0.45,6.572999999999979,0.0,2.795,227.299,188.408,268.606,132.282,Q1 Only
61888,CONECTISYS CORP,45.0,Information_Technology,0.002879769618430525,489.0,100.0,1.1168488730875445,1.389,1.0,0.0,0.003999999999999999,0.0,0.0,0.0,0.009,0.009,1.389,Q1 Only
