gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
162973,EQUITY METALS CORP,15.0,Materials,0.14744259651018302,333.0,90.0,1.880811129177013,36.041145,0.185,0.0,5.314,0.0,0.0,0.0,5.704,6.424,194.817,Q1 Only
178874,ORLA MINING LTD,15.0,Materials,0.1470768733698041,334.0,90.27027027027027,1.880811129177013,3026.34255,9.35,-0.22,445.105,0.0,10.923,407.532,184.231,1814.488,323.673,Q1 Only
187650,PERPETUA RESOURCES CORP,15.0,Materials,0.1345730043490474,335.0,90.54054054054053,1.880811129177013,762.04734,10.69,-0.12,102.551,0.0,0.011,0.0,19.141,111.486,71.286,Q1 Only
105587,PRIME MINING CORP,15.0,Materials,0.13321302926091932,336.0,90.81081081081082,1.880811129177013,237.66443999999998,1.56,-0.02,31.660000000000004,0.0,0.046,0.03,18.2,33.054,152.349,Q1 Only
108769,VITREOUS GLASS INC,15.0,Materials,0.13111888111888112,337.0,91.08108108108108,1.880811129177013,32.9472,5.2,0.14,4.32,0.06923076923076922,0.0,0.0,2.567,5.901,6.336,Q1 Only
61811,SOUTHERN COPPER CORP,15.0,Materials,0.12950528151141058,338.0,91.35135135135135,1.880811129177013,74411.63702,93.46,1.19,9636.7,0.021263642199871608,583.1,7384.6,4334.5,19791.2,796.187,Q1 Only
10930,U S ANTIMONY CORP,15.0,Materials,0.12758779172235493,339.0,91.62162162162161,1.880811129177013,255.43980000000002,2.2,0.0,32.591,0.0,0.586,0.457,18.746,39.497,116.109,Q1 Only
4213,ECOLAB INC,15.0,Materials,0.12387546987351301,340.0,91.8918918918919,1.880811129177013,71876.21575999999,253.52,1.42,8903.7,0.009624487219943198,761.5,7596.4,1162.6,22366.4,283.513,Q1 Only
33965,DISCOVERY SILVER CORP,15.0,Materials,0.12344870515733024,341.0,92.16216216216216,1.880811129177013,852.9777600000001,2.12,-0.02,105.299,0.0,0.241,1.101,15.308,115.473,402.348,Q1 Only
155515,OLIVUT RESOURCES LTD,15.0,Materials,0.12232564348385372,342.0,92.43243243243244,1.880811129177013,4.120150000000001,0.05,0.0,0.504,0.0,0.0,0.0,0.52,0.542,82.403,Q1 Only
106803,PANTERA SILVER CORP,15.0,Materials,0.12129601843157377,343.0,92.7027027027027,1.880811129177013,10.3301,0.22,-0.01,1.2530000000000001,0.0,0.0,0.0,1.054,1.377,46.955,Q1 Only
108233,STAR DIAMOND CORP,15.0,Materials,0.12091513838125736,344.0,92.97297297297298,1.880811129177013,37.1004,0.06,0.0,4.486000000000001,0.0,0.106,0.028,0.321,14.287,618.34,Q1 Only
