gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
10894,UDR INC,60.0,Real_Estate,0.2933887111653669,221.0,90.20408163265307,3.054641539976049,14959.174750000002,45.17,0.23,4388.853,0.037635598848793445,,5992.568,33.321,10745.412,331.175,Q1 Only
30293,ESSEX PROPERTY TRUST,60.0,Real_Estate,0.29294896189882924,222.0,90.61224489795919,3.054641539976049,19730.232060000002,306.57,3.16,5779.951,0.03235802589946831,,6844.401,107.862,13186.258,64.358,Q1 Only
187039,ZILLOW GROUP INC,60.0,Real_Estate,0.28733931482640884,223.0,91.02040816326532,3.054641539976049,16544.8992,68.56,0.03,4754.0,0.0,607.0,80.0,1607.0,5746.0,241.32,Q1 Only
12544,ST JOE CO,60.0,Real_Estate,0.27036649299700394,224.0,91.42857142857143,3.054641539976049,2733.5229000000004,46.95,0.3,739.053,0.011501597444089457,,617.936,101.654,1547.387,58.222,Q1 Only
19507,OUTFRONT MEDIA INC,60.0,Real_Estate,0.26166168704861775,225.0,91.83673469387756,3.054641539976049,2696.994,16.14,-0.14,705.6999999999998,0.10223048327137547,227.4,3820.0,30.5,5132.3,167.1,Q1 Only
112111,COSTAR GROUP INC,60.0,Real_Estate,0.2552035217215057,226.0,92.24489795918367,3.054641539976049,33526.9668,79.23,-0.04,8556.2,0.0,28.2,1091.4,4063.8,10428.1,423.16,Q1 Only
30490,APARTMENT INVST & MGMT CO,60.0,Real_Estate,0.2506626254083622,227.0,92.65306122448979,3.054641539976049,1207.0168,8.8,-0.1,302.5540000000001,0.06818181818181818,,1214.649,76.722,1872.765,137.161,Q1 Only
260774,CBRE GROUP INC,60.0,Real_Estate,0.22981350063718062,228.0,93.06122448979592,3.054641539976049,39179.59552,130.78,0.54,9004.0,0.0,3763.0,5279.0,1513.0,26366.0,299.584,Q1 Only
24116,FIRSTSERVICE CORP,60.0,Real_Estate,0.21995465105180684,229.0,93.46938775510203,3.054641539976049,7541.4318,165.95,0.06,1658.7729999999997,0.0061765592045796925,66.158,1529.575,240.278,4234.749,45.444,Q1 Only
20059,FIRST REAL ESTATE TR NJ INC,60.0,Real_Estate,0.19728746105307254,230.0,93.87755102040816,3.054641539976049,129.8562,17.4,0.08,25.619,0.04885057471264369,,127.612,11.9,156.883,7.463,Q1 Only
10096,PUBLIC STORAGE,60.0,Real_Estate,0.1841815879637329,231.0,94.28571428571428,3.054641539976049,52504.44470000001,299.29,2.04,9670.352,0.040094891242607504,,9485.158,287.177,19615.446,175.43,Q1 Only
24620,RYMAN HOSPITALITY PPTYS INC,60.0,Real_Estate,0.1774148140584068,232.0,94.6938775510204,3.054641539976049,5422.117679999999,91.44,1.05,961.9639999999999,0.04921259842519685,,3509.754,461.325,5239.107,59.297,Q1 Only
138743,EQUINIX INC,60.0,Real_Estate,0.17444297749668097,233.0,95.10204081632652,3.054641539976049,79756.72165,815.35,3.52,13913.0,0.021426381308640458,1555.0,18095.0,3685.0,36079.0,97.819,Q1 Only
28340,TANGER INC,60.0,Real_Estate,0.17259232119409187,234.0,95.51020408163265,3.054641539976049,3824.11567,33.79,0.17,660.0129999999999,0.032554010062148565,,1647.234,10.156,2477.859,113.173,Q1 Only
1257,ALEXANDER'S INC,60.0,Real_Estate,0.15267930655739964,235.0,95.91836734693877,3.054641539976049,1068.18012,209.16,2.4,163.08899999999994,0.08605851979345955,,988.021,377.645,1332.903,5.107,Q1 Only
27875,EQUITY LIFESTYLE PPTYS INC,60.0,Real_Estate,0.14379333059791616,236.0,96.3265306122449,3.054641539976049,12749.304800000002,66.7,0.57,1833.2649999999994,0.02919790104947526,,3201.148,47.476,5642.364,191.144,Q1 Only
38488,COMPASS INC,60.0,Real_Estate,0.14087252431141428,237.0,96.73469387755102,3.054641539976049,4528.207350000001,8.73,-0.09,637.8999999999999,0.0,174.2,381.9,127.0,1542.6,518.695,Q1 Only
18875,EXP WORLD HOLDINGS INC,60.0,Real_Estate,0.13879096764253387,238.0,97.14285714285714,3.054641539976049,1527.33282,9.78,-0.07,211.98000000000002,0.02044989775051125,0.0,0.0,182.224,435.783,156.169,Q1 Only
45445,LANDBRIDGE CO LLC,60.0,Real_Estate,0.11285351654028235,239.0,97.55102040816327,3.054641539976049,5499.66912,71.94,0.27,620.657,0.0027800945232137894,0.299,375.467,14.935,1008.1,76.448,Q1 Only
105365,AMERICAN TOWER CORP,60.0,Real_Estate,0.09754434882489778,240.0,97.95918367346938,3.054641539976049,101864.43519999999,217.6,1.05,9936.299999999996,0.029779411764705884,3409.4,40974.2,2239.2,62055.6,468.127,Q1 Only
63422,LAMAR ADVERTISING CO  -CL A,60.0,Real_Estate,0.08854728123700481,241.0,98.36734693877551,3.054641539976049,11649.9342,113.78,1.35,1031.5700000000006,0.051854455967656886,417.73,4132.867,36.117,6547.175,102.39,Q1 Only
178875,STORAGEVAULT CANADA INC,60.0,Real_Estate,0.07402295996218929,242.0,98.77551020408163,3.054641539976049,1429.39434,3.91,-0.03,105.80799999999999,0.0029667519181585675,,2081.674,17.873,2258.875,365.574,Q1 Only
29389,SIMON PROPERTY GROUP INC,60.0,Real_Estate,0.060273278583026293,243.0,99.18367346938776,3.054641539976049,54212.664000000004,166.08,1.27,3267.5750000000007,0.049674855491329474,,25271.374,1380.008,32501.143,326.425,Q1 Only
