gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
29517,MEDIFAST INC,30.0,Consumer_Staples,-0.006515172618218468,1.0,0.591715976331361,0.5235158559975801,148.15868,13.48,-0.07,210.959,0.0,6.156,8.454,164.593,280.011,10.991,Q1 Only
23098,ARCADIA BIOSCIENCES INC,30.0,Consumer_Staples,0.07097690531177829,2.0,1.183431952662722,0.5235158559975801,4.05999,2.97,1.9,8.905,0.0,0.021,0.0,3.159,12.99,1.367,Q1 Only
162940,MOLSON COORS CDA INC,30.0,Consumer_Staples,0.2552399683770078,3.0,1.7751479289940828,0.5235158559975801,573.3000000000001,58.5,,15828.599999999999,0.030335042735042735,136.6,6321.3,412.7,25930.5,9.8,Q1 Only
9521,HORIZON KINETICS HLDING CORP,30.0,Consumer_Staples,0.2767949614237626,4.0,2.366863905325444,0.5235158559975801,631.3538000000001,33.88,1.23,460.101,0.004722550177095631,,6.748,64.403,2072.649,18.635,Q1 Only
64028,NU SKIN ENTERPRISES  -CL A,30.0,Consumer_Staples,0.33476521315412916,5.0,2.9585798816568047,0.5235158559975801,358.644,7.26,2.16,753.969,0.03305785123966942,39.997,280.706,213.551,1391.411,49.4,Q1 Only
201336,CRESUD SOCIEDAD ANONIMA COM,30.0,Consumer_Staples,0.3534691762795978,6.0,3.5502958579881656,0.5235158559975801,668.5802500000001,11.05,1.36,1520.606,0.0897918552036199,492.561,838.878,477.642,4306.959,60.505,Q1 Only
60911,NATURAL HEALTH TRENDS CORP,30.0,Consumer_Staples,0.3545343086556722,7.0,4.142011834319527,0.5235158559975801,58.255779999999994,5.06,0.01,31.055,0.158102766798419,1.115,1.381,41.898,53.179,11.513,Q1 Only
21875,INTER-ROCK MINERALS INC,30.0,Consumer_Staples,0.38944448131678505,8.0,4.733727810650888,0.5235158559975801,12.24552,0.56,0.02,13.401,0.0,1.078,5.378,6.966,30.134,21.867,Q1 Only
17185,22ND CENTURY GROUP INC,30.0,Consumer_Staples,0.3899021344020877,9.0,5.325443786982249,0.5235158559975801,3.93552,1.44,-1.89,3.625,0.0,4.201,1.363,1.133,21.458,2.733,Q1 Only
38969,DINGDONG (CAYMAN) LIMITED,30.0,Consumer_Staples,0.3990493873316056,10.0,5.9171597633136095,0.5235158559975801,585.2790000000001,2.7,0.0,113.489,0.0,279.549,106.972,591.814,952.228,216.77,Q1 Only
9538,SEABOARD CORP,30.0,Consumer_Staples,0.4190886309445827,11.0,6.508875739644971,0.5235158559975801,2618.90352,2697.12,32.95,4775.0,0.0033368926855312335,510.0,1241.0,1171.0,7633.0,0.971,Q1 Only
13765,NATURAL ALTERNATIVES,30.0,Consumer_Staples,0.445817585708385,12.0,7.100591715976331,0.5235158559975801,21.255760000000002,3.44,-0.37,76.619,0.0,4.323,54.109,10.611,154.944,6.179,Q1 Only
63863,USANA HEALTH SCIENCES INC,30.0,Consumer_Staples,0.46885520415325016,13.0,7.6923076923076925,0.5235158559975801,506.65842000000004,26.97,0.49,534.563,0.0,23.0,,179.613,746.596,18.786,Q1 Only
37676,RLX TECHNOLOGY INC,30.0,Consumer_Staples,0.49101206535727715,14.0,8.284023668639055,0.5235158559975801,2290.67472,1.88,0.02,2237.745,0.0053191489361702135,9.688,1.827,1146.911,2352.852,1218.444,Q1 Only
144435,BUNGE GLOBAL SA,30.0,Consumer_Staples,0.5059121807951987,15.0,8.875739644970414,0.5235158559975801,10270.61874,76.42,1.5,10951.0,0.03559277676001047,2288.0,5373.0,4444.0,26660.0,134.397,Q1 Only
39544,OLAPLEX HOLDINGS INC,30.0,Consumer_Staples,0.5159419433019148,16.0,9.467455621301776,0.5235158559975801,845.45297,1.27,0.0,883.4029999999999,0.0,6.75,642.384,580.893,1770.924,665.711,Q1 Only
