gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
64945,STRATEGEM CAPITAL CORP,40.0,Financials,-0.757258758451137,1.0,0.11737089201877934,0.017828945575410482,2.3696400000000004,0.26,-0.07,9.725,0.0,0.0,0.0,9.762,9.762,9.114,Q1 Only
107434,MINCO CAPITAL CORP,40.0,Financials,-0.5911929026387626,2.0,0.2347417840375587,0.017828945575410482,1.9543949999999999,0.045,0.0,5.317,0.0,0.041,0.095,5.339,5.495,43.431,Q1 Only
176701,INTERACTIVE BROKERS GROUP,40.0,Financials,-0.39332336030950715,3.0,0.35211267605633806,0.017828945575410482,18039.70578,165.59,1.95,4502.0,0.006039012017633915,264.0,124.0,80443.0,157670.0,108.942,Q1 Only
50659,CHAIN BRIDGE BANCORP INC,40.0,Financials,-0.27400752811461265,4.0,0.4694835680751174,0.017828945575410482,156.04436,23.78,0.87,151.505,0.0,,,629.217,1726.86,6.562,Q1 Only
184392,GREEN DOT CORP,40.0,Financials,-0.23366511024575387,5.0,0.5868544600938966,0.017828945575410482,463.12811999999997,8.44,0.47,947.663,0.0,2.26,71.13,1874.925,5727.885,54.873,Q1 Only
14394,WILMINGTON CAP MGMT  -CL A,40.0,Financials,-0.20649050864948548,6.0,0.7042253521126761,0.017828945575410482,26.8664,2.15,-0.01,36.054,0.0,0.038,0.034,34.542,36.823,12.496,Q1 Only
10035,STATE STREET CORP,40.0,Financials,-0.1771668309305514,7.0,0.8215962441314555,0.017828945575410482,25845.16228,89.53,2.07,26692.0,0.02468446330838825,15373.0,24846.0,132093.0,372693.0,288.676,Q1 Only
15532,BNP PARIBAS,40.0,Financials,-0.1637917850518089,8.0,0.9389671361502347,0.017828945575410482,93795.062,41.539,1.32,140629.563,0.05982811333927152,,,589834.639,3028476.531,2258.0,Q1 Only
7982,NORTHERN TRUST CORP,40.0,Financials,-0.14296453681805188,9.0,1.056338028169014,0.017828945575410482,19191.27235,98.65,1.91,12878.5,0.030410542321338063,9247.8,6894.9,58933.3,165071.2,194.539,Q1 Only
61394,SOUTHERN BANC CO INC,40.0,Financials,-0.14213019141190747,10.0,1.1737089201877933,0.017828945575410482,8.382,11.0,0.3,16.259,0.0,0.0,0.0,26.537,127.735,0.762,Q1 Only
12673,BARCLAYS PLC,40.0,Financials,-0.13738560800128471,11.0,1.2910798122065728,0.017828945575410482,55050.24,15.36,0.67,96744.96,0.02848958333333334,170268.804,16797.292,524964.148,2058787.788,3584.0,Q1 Only
108979,FIRST GUARANTY BANCSHARES,40.0,Financials,-0.13604439907460145,12.0,1.4084507042253522,0.017828945575410482,97.72840000000001,7.7,-0.54,251.445,0.03376623376623376,,,618.679,3829.269,12.692,Q1 Only
