gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
38015,HELIOGEN INC,20.0,Industrials,-0.7095562048708849,1.0,0.18083182640144665,0.5148261847108405,5.168865,0.845,-1.03,23.029,0.0,0.974,0.73,30.064,32.684,6.117,Q1 Only
28724,BALLARD POWER SYSTEMS INC,20.0,Industrials,-0.29833560222571726,2.0,0.3616636528028933,0.5148261847108405,329.81630000000007,1.1,-0.07,653.821,0.0,3.025,20.237,578.802,756.61,299.833,Q1 Only
37651,SES AI CORPORATION,20.0,Industrials,-0.1315603019131844,3.0,0.5424954792043399,0.5148261847108405,189.9779157,0.5207,-0.04,269.855,0.0,2.632,6.897,239.762,305.982,364.851,Q1 Only
19977,ENERGOUS CORP,20.0,Industrials,0.046112267324512075,4.0,0.7233273056057866,0.5148261847108405,8.8338438,0.2727,-0.12,9.496,0.0,0.908,0.96,10.085,13.377,32.394,Q1 Only
25430,FUELCELL ENERGY INC,20.0,Industrials,0.08805535874649463,5.0,0.9041591320072333,0.5148261847108405,162.23232,7.68,-1.42,635.212,0.0,17.684,120.992,220.995,907.535,21.124,Q1 Only
170655,QXO INC,20.0,Industrials,0.0897697252364276,6.0,1.0849909584086799,0.5148261847108405,5543.6822,13.54,-0.03,5059.414,1.9340546528803546,0.313,0.187,5085.172,5113.196,409.43,Q1 Only
178403,SEANERGY MARITIME HOLDINGS C,20.0,Industrials,0.16486589492312942,7.0,1.2658227848101267,0.5148261847108405,130.3936,6.4,-0.34,254.788,0.11875,,,30.9,603.482,20.374,Q1 Only
148772,CBAK ENERGY TECHNOLOGY INC,20.0,Industrials,0.17964514150867678,8.0,1.4466546112115732,0.5148261847108405,71.691174,0.7971,-0.02,120.792,0.0,30.797,6.53,53.065,311.465,89.94,Q1 Only
39751,FLUENCE ENERGY INC,20.0,Industrials,0.1978646334199387,9.0,1.62748643761302,0.5148261847108405,632.6922,4.85,-0.24,395.03000000000003,0.0,6.714,397.715,587.346,2273.146,130.452,Q1 Only
170758,CAESARSTONE LTD,20.0,Industrials,0.20216932717800398,10.0,1.8083182640144666,0.5148261847108405,83.95407,2.43,-0.37,261.625,0.0,3.56,110.341,88.811,539.37,34.549,Q1 Only
30217,REKO INTERNATIONAL GROUP INC,20.0,Industrials,0.22545819274479192,11.0,1.9891500904159132,0.5148261847108405,21.13777,3.83,0.05,41.641,0.0,1.648,8.805,18.16,59.571,5.519,Q1 Only
28819,FUEL TECH INC,20.0,Industrials,0.23818643088055835,12.0,2.1699819168173597,0.5148261847108405,32.30745,1.05,-0.02,41.614000000000004,0.0,0.075,0.532,21.789,46.709,30.769,Q1 Only
153128,HUDSON GLOBAL INC,20.0,Industrials,0.24791144119582587,13.0,2.3508137432188065,0.5148261847108405,29.35317,10.67,-0.59,39.474,0.0,0.471,0.401,17.04,53.185,2.751,Q1 Only
64061,FORRESTER RESEARCH INC,20.0,Industrials,0.25166368808065376,14.0,2.5316455696202533,0.5148261847108405,175.3752,9.24,-4.62,147.434,0.0,12.563,56.999,134.254,439.806,18.98,Q1 Only
6379,KELLY SERVICES INC  -CL A,20.0,Industrials,0.27017765617172146,15.0,2.7124773960216997,0.5148261847108405,463.58400000000006,13.17,0.16,1240.5,0.02277904328018223,12.2,253.9,28.6,2594.9,35.2,Q1 Only
8486,TUTOR PERINI CORP,20.0,Industrials,0.274646092380887,16.0,2.8933092224231465,0.5148261847108405,1221.65554,23.18,0.53,1160.235,0.0,21.478,432.599,452.377,4454.298,52.703,Q1 Only
23195,MATRIX SERVICE CO,20.0,Industrials,0.29179621663896765,17.0,3.074141048824593,0.5148261847108405,343.15501,12.43,-0.12,150.733,0.0,3.914,17.559,185.541,613.74,27.607,Q1 Only
184049,BLINK CHARGING CO,20.0,Industrials,0.3143536558534845,18.0,3.25497287522604,0.5148261847108405,94.26889709999999,0.9177,-0.2,102.603,0.0,4.156,6.18,42.024,199.078,102.723,Q1 Only
164190,AIR CANADA,20.0,Industrials,0.3194818209982789,19.0,3.4358047016274864,0.5148261847108405,4573.04159,14.17,-0.31,2065.0,0.0,2016.0,10710.0,7090.0,31955.0,322.727,Q1 Only
40132,SOUTHLAND HOLDINGS INC,20.0,Industrials,0.32102902997600025,20.0,3.616636528028933,0.5148261847108405,161.42113,2.99,-0.08,159.422,0.0,54.482,251.388,81.116,1202.929,53.987,Q1 Only
22207,TRUEBLUE INC,20.0,Industrials,0.36185375272033043,21.0,3.79746835443038,0.5148261847108405,158.41322999999997,5.31,-0.48,302.217,0.0,11.023,104.196,23.059,692.471,29.833,Q1 Only
175606,DANAOS CORPORATION,20.0,Industrials,0.3774187757879003,22.0,3.9783001808318263,0.5148261847108405,1449.32922,78.03,6.14,3493.729,0.04229142637447136,37.66,732.194,543.876,4438.855,18.574,Q1 Only
351491,IVECO GROUP N V,20.0,Industrials,0.382246073911797,23.0,4.159132007233273,0.5148261847108405,4303.3575200000005,16.28,0.15,2868.469,0.0,,6263.293,3013.298,19760.445,264.334,Q1 Only
19987,AECON GROUP INC,20.0,Industrials,0.38347905809175514,24.0,4.3399638336347195,0.5148261847108405,1065.79704,16.94,-0.6,966.462,0.0448642266824085,200.631,415.833,385.601,3381.306,62.916,Q1 Only
28719,CONDUENT INC,20.0,Industrials,0.38702251184834124,25.0,4.520795660036167,0.5148261847108405,436.9410000000001,2.7,-0.33,816.0,0.0,77.0,759.0,293.0,2532.0,161.83,Q1 Only
345920,HYDROFARM HLDNG GP INC,20.0,Industrials,0.39563870546598884,26.0,4.701627486437613,0.5148261847108405,8.724239999999998,1.89,-3.12,212.992,0.0,14.128,153.308,13.728,410.557,4.616,Q1 Only
64835,RYANAIR HOLDINGS PLC,20.0,Industrials,0.4019756420882501,27.0,4.882459312839059,0.5148261847108405,9015.23438,42.37,-1.24,8013.1230000000005,0.02029265990087326,957.706,1941.784,4308.647,18921.737,212.774,Q1 Only
160570,COMMERCIAL VEHICLE GROUP INC,20.0,Industrials,0.40433742315213794,28.0,5.063291139240507,0.5148261847108405,36.157149999999994,1.15,-0.09,136.656,0.0,22.12,131.686,20.213,419.823,31.441,Q1 Only
37937,ENERGY VAULT HOLDINGS INC,20.0,Industrials,0.40618642390349563,29.0,5.244122965641953,0.5148261847108405,107.2605822,0.6954,-0.14,115.014,0.0,13.303,12.888,45.13,217.441,154.243,Q1 Only
6994,MANITOWOC CO,20.0,Industrials,0.40631328381902715,30.0,5.424954792043399,0.5148261847108405,304.45536999999996,8.59,-0.18,653.8000000000001,0.0,17.6,436.0,41.4,1763.8,35.443,Q1 Only
20269,CALDWELL PARTNERS INTL INC,20.0,Industrials,0.40870590892955116,31.0,5.605786618444846,0.5148261847108405,26.89414,0.91,-0.007,33.511,0.005494505494505494,1.643,4.588,7.796,61.974,29.554,Q1 Only
43645,ZKH GROUP LTD -ADR,20.0,Industrials,0.40960472570118606,32.0,5.786618444846293,0.5148261847108405,542.38175,3.35,-0.06,418.532,0.0,31.802,19.456,248.08,843.642,161.905,Q1 Only
26434,PYXIS TANKERS INC,20.0,Industrials,0.41279780240718983,33.0,5.967450271247739,0.5148261847108405,35.547540000000005,3.39,0.07,93.943,0.0,7.569,75.068,40.193,188.934,10.486,Q1 Only
40672,KNIGHTSCOPE INC,20.0,Industrials,0.41616303253941633,34.0,6.148282097649186,0.5148261847108405,19.46082,2.82,-1.28,18.163,0.0,1.635,3.971,12.661,29.81,6.901,Q1 Only
2999,CHICAGO RIVET & MACHINE CO,20.0,Industrials,0.42307091520917284,35.0,6.329113924050633,0.5148261847108405,10.51974,10.89,0.42,20.642,0.023875114784205703,0.068,0.362,0.766,24.071,0.966,Q1 Only
5788,HURCO COS INC,20.0,Industrials,0.42731006015690054,36.0,6.50994575045208,0.5148261847108405,139.34116,21.49,-0.67,198.192,0.007445323406235459,3.881,7.917,41.82,255.831,6.484,Q1 Only
38779,BLADE AIR MOBILITY INC,20.0,Industrials,0.4360926761125523,37.0,6.6907775768535265,0.5148261847108405,221.05902,2.73,-0.04,219.907,0.0,3.362,5.706,120.864,250.55,80.974,Q1 Only
147305,JETBLUE AIRWAYS CORP,20.0,Industrials,0.44558322905093267,38.0,6.871609403254973,0.5148261847108405,1707.9188,4.82,-0.59,3011.0,0.0,486.0,8928.0,3502.0,17101.0,354.34,Q1 Only
4450,ESPEY MFG & ELECTRONICS CORP,20.0,Industrials,0.44810351455244357,39.0,7.05244122965642,0.5148261847108405,71.13485999999999,27.13,0.66,46.325,0.03501658680427571,0.0,0.0,38.495,72.84,2.622,Q1 Only
39627,FGI INDUSTRIES LTD,20.0,Industrials,0.45561961526102074,40.0,7.233273056057866,0.5148261847108405,7.3976301,0.77139,-0.07,21.787,0.0,14.686,10.335,1.226,68.462,9.59,Q1 Only
