gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
165672,MINCO SILVER CORP,15.0,Materials,-0.4277263594391245,1.0,0.2702702702702703,0.3823098531003375,12.815249999999999,0.21,0.03,46.139,0.0,0.254,0.215,33.295,46.784,61.025,Q1 Only
127380,GROSVENOR RESOURCE CORP,15.0,Materials,-0.29445955882352937,2.0,0.5405405405405406,0.3823098531003375,0.9415350000000001,0.035,0.0,1.349,0.0,0.0,0.0,1.342,1.36,26.901,Q1 Only
177425,NORTH ARROW MINERALS INC,15.0,Materials,0.04819899770306953,3.0,0.8108108108108109,0.3823098531003375,3.8583,0.135,-0.04,18.857,0.0,0.0,0.0,2.935,19.156,28.58,Q1 Only
25935,GULF RESOURCES INC,15.0,Materials,0.05731182043082121,4.0,1.0810810810810811,0.3823098531003375,9.396287999999998,0.704,-0.4,142.585,0.0,0.738,7.887,8.523,165.73,13.347,Q1 Only
39097,ORIGIN MATERIALS INC,15.0,Materials,0.062290767586402514,5.0,1.3513513513513513,0.3823098531003375,97.2220452,0.6636,-0.18,314.608,0.0,2.064,5.5,83.048,348.977,146.507,Q1 Only
66072,NEW AGE METALS INC,15.0,Materials,0.06945046020573903,6.0,1.6216216216216217,0.3823098531003375,4.166925,0.075,0.0,12.813,0.0,0.039,0.049,3.357,12.929,55.559,Q1 Only
176529,RECYLICO BATTER MATERILS INC,15.0,Materials,0.11445689900426775,7.0,1.891891891891892,0.3823098531003375,18.409580000000005,0.07,0.0,17.561,0.0,0.0,0.0,16.398,17.575,262.994,Q1 Only
108344,STARCORE INTL MINES LTD,15.0,Materials,0.12971225299387257,8.0,2.1621621621621623,0.3823098531003375,9.02664,0.135,0.0,44.428,0.0,0.462,0.148,2.672,53.693,66.864,Q1 Only
138020,WALLBRIDGE MINING CO LTD,15.0,Materials,0.13484736770423197,9.0,2.4324324324324325,0.3823098531003375,60.48933,0.055,0.0,317.718,0.0,0.009,0.0,16.934,323.064,1099.806,Q1 Only
40398,ACLARA RESOURCES INC,15.0,Materials,0.1648943195311602,10.0,2.7027027027027026,0.3823098531003375,74.893272,0.344,-0.01,155.341,0.0,0.0,0.0,44.759,182.749,217.713,Q1 Only
39680,GINKGO BIOWORKS HOLDINGS INC,15.0,Materials,0.17122608068417883,11.0,2.9729729729729732,0.3823098531003375,311.77860000000004,5.7,-1.68,647.427,0.0,,434.561,524.865,1293.463,54.698,Q1 Only
107651,VANADIUMCORP RESOURCES INC,15.0,Materials,0.17626633218354762,12.0,3.2432432432432434,0.3823098531003375,1.08134,0.13,0.03,7.325,0.0,0.193,0.461,0.049,9.567,8.318,Q1 Only
105475,AVALON ADVANCED MATERIALS,15.0,Materials,0.1930561888355386,13.0,3.5135135135135136,0.3823098531003375,18.254759999999997,0.03,0.0,125.732,0.0,2.147,7.548,1.614,136.415,608.492,Q1 Only
4019,WESTERN FOREST PRODUCTS INC,15.0,Materials,0.20415597769257576,14.0,3.783783783783784,0.3823098531003375,134.61704999999998,0.425,0.04,627.8,0.0,7.6,38.3,4.8,860.7,316.746,Q1 Only
105435,ASCOT RESOURCES LTD,15.0,Materials,0.21393883287682317,15.0,4.054054054054054,0.3823098531003375,144.98396,0.11,0.0,473.664,0.0,53.524,28.914,36.998,890.086,1318.036,Q1 Only
63075,SHERRITT INTERNATIONAL CORP,15.0,Materials,0.23719977540921205,16.0,4.324324324324325,0.3823098531003375,71.96190499999999,0.145,-0.1,555.4,0.0,67.5,309.1,137.0,1313.5,496.289,Q1 Only
145022,COMMERCE RESOURCES CORP,15.0,Materials,0.24416870164973437,17.0,4.594594594594595,0.3823098531003375,13.78143,0.065,0.0,52.117,0.0,0.036,0.047,0.766,53.645,212.022,Q1 Only
105089,CEMEX S A B DE C V,15.0,Materials,0.24879544123642988,18.0,4.864864864864865,0.3823098531003375,8139.173130000001,5.61,0.08,13065.204,0.014759358288770053,,,1179.154,27974.866,1450.833,Q1 Only
185127,GLOBAL BATTERY METALS LTD,15.0,Materials,0.2589989666752777,19.0,5.135135135135135,0.3823098531003375,2.35617,0.03,0.0,3.21,0.0,0.0,0.0,0.351,7.742,78.539,Q1 Only
175078,CANFOR PULP PRODUCTS INC,15.0,Materials,0.2654793672627235,20.0,5.405405405405405,0.3823098531003375,42.4021,0.65,0.09,181.3,0.0,75.6,1.2,3.4,436.2,65.234,Q1 Only
199755,KESSELRUN RESOURCES LTD,15.0,Materials,0.2794166094715168,21.0,5.675675675675676,0.3823098531003375,3.76288,0.04,0.0,9.33,0.0,0.142,0.0,0.648,11.656,94.072,Q1 Only
186970,NAMIBIA CRITICAL METALS INC,15.0,Materials,0.2852320347664131,22.0,5.9459459459459465,0.3823098531003375,8.713,0.04,0.0,24.736,0.0,0.0,0.0,1.362,25.772,217.825,Q1 Only
253501,PIEDMONT LITHIUM INC,15.0,Materials,0.30591304294639887,23.0,6.216216216216217,0.3823098531003375,138.2472,6.3,-0.71,283.291,0.0,26.412,4.235,68.864,326.989,21.944,Q1 Only
12578,VALHI INC,15.0,Materials,0.3121622479326854,24.0,6.486486486486487,0.3823098531003375,459.79375000000005,16.25,0.59,1123.1,0.019692307692307693,85.7,542.9,227.7,2757.2,28.295,Q1 Only
170785,NOVO RESOURCES CORP,15.0,Materials,0.3141958809631769,25.0,6.756756756756757,0.3823098531003375,35.094500000000004,0.1,-0.01,71.955,0.0,0.121,0.278,9.162,83.806,350.945,Q1 Only
1613,AMPCO-PITTSBURGH CORP,15.0,Materials,0.31428907128589895,26.0,7.027027027027027,0.3823098531003375,43.3566,2.17,0.06,65.10499999999999,0.0,13.178,119.114,7.129,536.193,19.98,Q1 Only
160779,CENTERRA GOLD INC,15.0,Materials,0.3152486229470859,27.0,7.297297297297297,0.3823098531003375,1320.4443999999999,6.35,0.15,1664.423,0.0315748031496063,6.313,13.197,611.9,2309.461,207.944,Q1 Only
65248,ARCELORMITTAL,15.0,Materials,0.31601912424003853,28.0,7.567567567567568,0.3823098531003375,22172.580950000003,28.85,1.05,53624.0,0.01733102253032929,3456.0,8591.0,5319.0,91452.0,768.547,Q1 Only
345699,OSISKO DEVELOPMENT CORP,15.0,Materials,0.31975637766970805,29.0,7.837837837837839,0.3823098531003375,292.36894,2.14,-0.27,532.341,0.0,38.646,7.745,77.597,816.756,136.621,Q1 Only
186664,AKWAABA MINING LTD,15.0,Materials,0.3198882738827388,30.0,8.108108108108109,0.3823098531003375,1.535415,0.105,0.0,4.588,0.0,0.114,0.0,0.089,4.878,14.623,Q1 Only
64551,METALEX VENTURES LTD,15.0,Materials,0.3436806368531959,31.0,8.378378378378379,0.3823098531003375,4.146719999999999,0.015,-0.01,5.576,0.0,0.0,0.0,1.211,8.542,276.448,Q1 Only
20011,METALLUS INC,15.0,Materials,0.3598818338629142,32.0,8.64864864864865,0.3823098531003375,562.70984,13.36,0.03,700.4,0.0,9.5,6.1,181.9,1101.5,42.119,Q1 Only
186778,SILVER PREDATOR CORP,15.0,Materials,0.36030283642567706,33.0,8.91891891891892,0.3823098531003375,2.1234599999999997,0.06,0.0,4.643,0.0,0.0,0.0,0.434,4.689,35.391,Q1 Only
26768,SSR MINING INC,15.0,Materials,0.36109101803026944,34.0,9.18918918918919,0.3823098531003375,2031.45614,10.03,0.29,3501.9700000000003,0.0,17.666,330.348,341.289,5644.508,202.538,Q1 Only
28852,JAGUAR MINING INC,15.0,Materials,0.36287047442079945,35.0,9.45945945945946,0.3823098531003375,161.00741999999997,2.03,-0.02,237.931,0.0,2.761,2.39,43.129,339.045,79.314,Q1 Only
21361,NOCOPI TECHNOLOGIES INC,15.0,Materials,0.3635568700114023,36.0,9.72972972972973,0.3823098531003375,16.29743,1.51,0.0,13.667,0.0,0.014,0.0,11.21,14.032,10.793,Q1 Only
353742,LI-FT PWR LTD,15.0,Materials,0.3793564961385542,37.0,10.0,0.3823098531003375,126.38445,2.67,-0.01,275.171,0.0,0.073,0.041,18.776,283.961,47.335,Q1 Only
