gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
181359,MONGOLIA GROWTH GROUP LTD,60.0,Real_Estate,-0.2965944272445819,1.0,0.40816326530612246,0.5817887394637256,28.142400000000002,1.1,0.0,40.267,0.0,0.0,0.0,40.788,42.636,25.584,Q1 Only
13579,EQUITY COMMONWEALTH,60.0,Real_Estate,-0.2362848056506058,2.0,0.8163265306122449,0.5817887394637256,173.47911000000002,1.61,,176.408,11.801242236024844,0.0,0.0,227.271,227.657,107.751,Q1 Only
31108,FIVE POINT HOLDINGS LLC,60.0,Real_Estate,0.12057539768588613,3.0,1.2244897959183674,0.5817887394637256,373.17521999999997,5.34,0.33,815.846,0.0,,537.039,529.321,3158.963,69.883,Q1 Only
41623,BLUEROCK HOMES TRST INC,60.0,Real_Estate,0.24462221489447525,4.0,1.6326530612244898,0.5817887394637256,45.03657,11.37,-0.67,137.11400000000003,0.010993843447669306,,341.557,150.687,964.371,3.961,Q1 Only
1545,AMERICAN REALTY INVESTORS,60.0,Real_Estate,0.2599652248471051,5.0,2.0408163265306123,0.5817887394637256,176.8644,10.95,0.18,604.906,0.0,,201.695,106.896,1044.999,16.152,Q1 Only
3410,TRANSCONTINENTAL RLTY INVS,60.0,Real_Estate,0.3070842331616737,6.0,2.4489795918367347,0.5817887394637256,241.46004999999997,27.95,0.53,837.259,0.0,,198.153,106.875,1083.54,8.639,Q1 Only
40417,DOUGLAS ELLIMAN INC,60.0,Real_Estate,0.3257771848168715,7.0,2.857142857142857,0.5817887394637256,152.62936,1.72,-0.07,158.238,0.0,21.343,130.19,143.247,493.943,88.738,Q1 Only
26545,RMR GROUP INC,60.0,Real_Estate,0.393928272957994,8.0,3.2653061224489797,0.5817887394637256,281.03535,16.65,0.21,234.287,0.10810810810810811,5.7,106.402,137.186,649.741,16.879,Q1 Only
45397,SEAPORT ENTERTAINMENT GR INC,60.0,Real_Estate,0.40305524391228453,9.0,3.6734693877551026,0.5817887394637256,272.64752999999996,21.47,-2.51,531.159,0.0,,148.913,132.0,718.414,12.699,Q1 Only
5395,GYRODYNE LLC,60.0,Real_Estate,0.4193651254906837,10.0,4.081632653061225,0.5817887394637256,18.3018372,8.3228,,30.812,0.0,,11.095,5.787,56.299,2.199,Q1 Only
163884,FRANKLIN STREET PROPERTIES,60.0,Real_Estate,0.4374434014356709,11.0,4.489795918367347,0.5817887394637256,184.34926,1.78,-0.21,633.386,0.02247191011235955,,248.068,31.559,916.366,103.567,Q1 Only
40248,ORION OFFICE REIT INC,60.0,Real_Estate,0.4408781910222869,12.0,4.8979591836734695,0.5817887394637256,120.25516000000002,2.14,-0.17,753.48,0.14953271028037385,,513.649,48.477,1327.866,56.194,Q1 Only
27335,HIGHLANDS REIT INC,60.0,Real_Estate,0.46786150024957335,13.0,5.3061224489795915,0.5817887394637256,65.18889,0.09,0.0,202.65,0.0,,120.647,29.303,334.571,724.321,Q1 Only
15098,BECKER MILK CO LTD  -CL B,60.0,Real_Estate,0.48814161951024093,14.0,5.714285714285714,0.5817887394637256,23.142400000000002,12.8,0.65,39.129000000000005,0.06250000000000001,0.0,0.0,3.647,39.938,1.808,Q1 Only
36084,FATHOM HOLDINGS INC,60.0,Real_Estate,0.493422565634373,15.0,6.122448979591836,0.5817887394637256,24.332616,0.882,-0.24,43.415,0.0,14.91,8.904,8.171,81.017,27.588,Q1 Only
1718,ADVANCED OXYGEN TECHNOLOGY,60.0,Real_Estate,0.5026472868217055,16.0,6.530612244897959,0.5817887394637256,0.25520750000000003,0.0775,0.0,0.354,0.0,0.127,0.0,0.058,0.645,3.293,Q1 Only
