gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
20655,XPLR INFRASTRUCTURE LP,55.0,Utilities,0.2935711382113821,1.0,0.9708737864077669,0.6594447875538093,893.0095,9.5,-1.05,Q1 Only
267054,EMPRESA DISTRIBUIDORA Y COM,55.0,Utilities,0.330441689974334,2.0,1.9417475728155338,0.6594447875538093,1337.16336,30.54,0.76,Q1 Only
27141,ENEL CHILE SA,55.0,Utilities,0.3519953598941716,3.0,2.912621359223301,0.6594447875538093,4523.49237,3.27,0.13,Q1 Only
136684,BROOKFIELD RENEWABLE PRTS LP,55.0,Utilities,0.4159196078842965,4.0,3.8834951456310676,0.6594447875538093,6295.9884,22.16,-0.35,Q1 Only
22783,KENON HOLDINGS LTD,55.0,Utilities,0.4319454894123246,5.0,4.854368932038835,0.6594447875538093,1675.466892,31.977,0.22,Q1 Only
5526,HAWAIIAN ELECTRIC INDS,55.0,Utilities,0.4521971768550067,6.0,5.825242718446602,0.6594447875538093,1888.8093,10.95,0.15,Q1 Only
36790,BROOKFIELD RENEWABLE CORP,55.0,Utilities,0.5443232506004805,7.0,6.796116504854369,0.6594447875538093,10443.95064,27.92,,Q1 Only
161801,POLARIS RENEWABLE ENERGY INC,55.0,Utilities,0.5480762926378356,8.0,7.766990291262135,0.6594447875538093,171.5086,8.15,-0.49,Q1 Only
1828,ATCO LTD  -CL I,55.0,Utilities,0.6222083034462401,9.0,8.737864077669903,0.6594447875538093,5634.08944,50.12,1.28,Q1 Only
17341,ARTESIAN RESOURCES  -CL A,55.0,Utilities,0.6325136737005039,10.0,9.70873786407767,0.6594447875538093,336.39295,32.65,0.53,Q1 Only
