gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
64945,STRATEGEM CAPITAL CORP,40.0,Financials,-0.757258758451137,1.0,0.11402508551881414,0.017490186569697565,2.3696400000000004,0.26,-0.07,Q1 Only
107434,MINCO CAPITAL CORP,40.0,Financials,-0.5911929026387626,2.0,0.22805017103762829,0.017490186569697565,1.954395,0.045,0.0,Q1 Only
176701,INTERACTIVE BROKERS GROUP,40.0,Financials,-0.3933233603095071,3.0,0.34207525655644244,0.017490186569697565,18039.70578,165.59,1.95,Q1 Only
50659,CHAIN BRIDGE BANCORP INC,40.0,Financials,-0.2740075281146126,4.0,0.45610034207525657,0.017490186569697565,156.04436,23.78,0.87,Q1 Only
184392,GREEN DOT CORP,40.0,Financials,-0.2336651102457538,5.0,0.5701254275940707,0.017490186569697565,463.12812,8.44,0.47,Q1 Only
39311,MARKETWISE INC,40.0,Financials,-0.227550342294206,6.0,0.6841505131128849,0.017490186569697565,22.903039999999997,0.4936,0.02,Q1 Only
14394,WILMINGTON CAP MGMT  -CL A,40.0,Financials,-0.2064905086494853,7.0,0.798175598631699,0.017490186569697565,26.8664,2.15,-0.01,Q1 Only
10035,STATE STREET CORP,40.0,Financials,-0.1771668309305514,8.0,0.9122006841505131,0.017490186569697565,25845.16228,89.53,2.07,Q1 Only
15532,BNP PARIBAS,40.0,Financials,-0.1637917850518089,9.0,1.0262257696693273,0.017490186569697565,93795.062,41.539,1.32,Q1 Only
7982,NORTHERN TRUST CORP,40.0,Financials,-0.1429645368180518,10.0,1.1402508551881414,0.017490186569697565,19191.27235,98.65,1.91,Q1 Only
61394,SOUTHERN BANC CO INC,40.0,Financials,-0.1421301914119074,11.0,1.2542759407069555,0.017490186569697565,8.382,11.0,0.3,Q1 Only
12673,BARCLAYS PLC,40.0,Financials,-0.1373856080012847,12.0,1.3683010262257698,0.017490186569697565,55050.24,15.36,0.67,Q1 Only
108979,FIRST GUARANTY BANCSHARES,40.0,Financials,-0.1360443990746014,13.0,1.4823261117445838,0.017490186569697565,97.7284,7.7,-0.54,Q1 Only
260751,BANK OF NT BUTTERFIELD & SON,40.0,Financials,-0.1296011716010847,14.0,1.596351197263398,0.017490186569697565,1642.4629200000002,38.92,1.26,Q1 Only
