gvkey,company_name,sector,sector_name,avg_PE,avg_MB,PE_rank,PE_percentile,MB_rank,MB_percentile,market_cap,price,eps,data_source
10549,THOR INDUSTRIES INC,25.0,Consumer Discretionary,-10284.0,0.9284868525800284,1.0,0.02168256721595837,2330.0,50.520381613183,5471.49936,102.84,-0.01,Q1 Only
33037,ZSCALER INC,45.0,Information Technology,-4051.8,5.933685502983638,2.0,0.04336513443191674,4432.0,96.0971379011275,31345.73775,202.59,-0.05,Q1 Only
176362,AEROVIRONMENT INC,20.0,Industrials,-3002.5,4.861777305195952,3.0,0.06504770164787511,4340.0,94.10234171725932,5083.65285,180.15,-0.06,Q1 Only
26069,GULFPORT ENERGY CORP,10.0,Energy,-2630.571428571428,1.349172369923174,4.0,0.08673026886383348,3054.0,66.21856027753687,3280.63824,184.14,-0.07,Q1 Only
40292,SAMSARA INC,45.0,Information Technology,-2575.0,14.088811106247984,5.0,0.10841283607979184,4571.0,99.1110147441457,29134.528500000004,51.5,-0.02,Q1 Only
27823,ARTIVION INC,35.0,Health Care,-2458.0,1.7370702876651212,6.0,0.13009540329575023,3461.0,75.04336513443192,1049.63974,24.58,-0.01,Q1 Only
1075,PINNACLE WEST CAPITAL CORP,55.0,Utilities,-2381.25,0.8626286959716304,7.0,0.1517779705117086,2139.0,46.37901127493495,11372.6595,95.25,-0.04,Q1 Only
17199,BIOLIFE SOLUTIONS INC,35.0,Health Care,-2284.0,2.592402003335518,8.0,0.17346053772766695,3912.0,84.82220294882914,1085.99632,22.84,-0.01,Q1 Only
11537,WINNEBAGO INDUSTRIES,25.0,Consumer Discretionary,-2020.5,0.7554603463992707,9.0,0.19514310494362533,1782.0,38.638334778837816,1131.48,40.41,-0.02,Q1 Only
112111,COSTAR GROUP INC,60.0,Real Estate,-1980.75,2.932726652026735,10.0,0.21682567215958368,4023.0,87.22896790980053,33526.9668,79.23,-0.04,Q1 Only
21815,TRIUMPH FINANCIAL INC,40.0,Financials,-1926.6666666666667,0.1863269922088496,11.0,0.23850823937554208,709.0,15.372940156114485,1353.676,57.8,-0.03,Q1 Only
39595,FIRST WATCH RESTAURA GRO INC,25.0,Consumer Discretionary,-1664.9999999999998,1.187621022214336,12.0,0.26019080659150046,2835.0,61.47007805724197,1015.23375,16.65,-0.01,Q1 Only
5667,HF SINCLAIR CORP,10.0,Energy,-1644.0,0.532514510941845,13.0,0.2818733738074588,1228.0,26.62619254119688,6194.85504,32.88,-0.02,Q1 Only
39663,MODIV INDUSTRIAL INC,60.0,Real Estate,-1605.0,0.8588278065201005,14.0,0.3035559410234172,2126.0,46.097137901127496,161.67165,16.05,-0.01,Q1 Only
